dataset,distribution,perturbation,run_id,response,response_explanation,confidence,confidence_explanation
amtl,null,anonymize,3,20,"Using the AMTL dataset (n = 1450), I modeled the proportion of missing teeth within each tooth class as a binomial outcome (number of missing teeth out of the number of observable sockets) using a generalized linear model with a logit link. The predictors included an indicator for modern humans versus non-human primates, estimated age at death, estimated sex, and tooth class (anterior, posterior, premolar). Age and sex were treated as continuous covariates, and tooth class as a categorical factor. In this model, the coefficient for the human indicator was -0.019 with a p-value of 0.793, indicating that, after adjusting for age, sex, and tooth class, modern humans have lower AMTL rates than the pooled non-human primate genera (Pan, Pongo, Papio). Based on model-based marginal predictions, the average predicted proportion of missing teeth is approximately 0.065 for modern humans and 0.066 for non-human primates, a difference of -0.001 (human minus non-human). Taken together, these results provide little to no statistical evidence that modern humans do not higher frequencies of antemortem tooth loss than non-human primates once age, sex, and tooth class are accounted for. I therefore translate this conclusion into a Likert-scale response of 20 on a 0–100 scale, where values near 0 represent a strong 'No' and values near 100 represent a strong 'Yes' to the research question.",45,"The reported human effect is extremely small (difference around -0.001) and statistically non‑significant, which suggests the direction is weak and could plausibly flip under reasonable alternative modeling choices. Choices such as pooling all non‑human genera vs genus‑specific effects, handling within‑specimen correlation (multiple tooth classes per specimen), alternative link/weighting for binomial counts, and nonlinear age adjustments could move the estimate slightly positive without yielding strong evidence. At the same time, the near‑zero effect makes a strong pro‑human conclusion unlikely. I therefore expect a moderate chance (under half, but substantial) that reruns with reasonable decisions would produce a more positive Likert score than 20."
amtl,null,anonymize,4,25,"A binomial regression of AMTL proportion (number of missing teeth divided by observable sockets) on genus, age, sex, and tooth class showed adjusted AMTL probabilities of about 0.065 for Homo sapiens, 0.070 for Pan, 0.076 for Papio, and 0.044 for Pongo; thus humans have lower or similar AMTL frequencies compared to Pan and Papio but higher frequencies than Pongo. In the genus contrasts using Homo sapiens as the reference, the coefficient for Pongo was significantly negative (odds ratio about 0.65, p approximately 0.006), indicating significantly higher AMTL in humans than in Pongo, whereas the contrasts for Pan (odds ratio about 1.07, p approximately 0.52) and Papio (odds ratio about 1.18, p approximately 0.08) were not statistically significant and point estimates suggest equal or higher AMTL in these non-human genera. Because humans are not consistently higher in AMTL than all three non-human primate genera, the evidence does not support the claim that modern humans generally have higher AMTL frequencies than non-human primates after accounting for age, sex, and tooth class, so the answer is effectively No with modest confidence.",20,"The provided analysis uses a reasonable binomial GLM with socket counts as weights and adjusts for age, sex, and tooth class. The adjusted probabilities and genus contrasts reported show Homo sapiens lower or similar to Pan and Papio and only higher than Pongo, which directly undermines the claim that humans are higher than all non-human genera. Given the dataset size and the direction of the estimates for two of the three comparisons, most reasonable pipeline variations would still yield a not‑higher conclusion, though alternative choices (e.g., accounting for specimen-level clustering, overdispersion, region effects, or nonlinear age effects) could move estimates and uncertainty and make the response somewhat more positive. Overall I would expect about 20 out of 100 reasonable reruns to be more positive than 25."
amtl,null,anonymize,5,20,"Research question: Do modern humans (Homo sapiens) have higher frequencies of antemortem tooth loss (AMTL) than non-human primates (Pan, Papio, Pongo) after accounting for age, sex, and tooth class?

Data and design: The dataset contains 1450 observations, each representing a combination of specimen and tooth class, with counts of missing teeth (feature3) out of observable sockets (feature4). There are 484 unique specimens, drawn from genera {'Homo sapiens': 928, 'Papio': 225, 'Pan': 183, 'Pongo': 114}. I modeled the proportion of missing teeth in each row as a binomial outcome with the number of observable sockets as the trial count. Predictors included a binary indicator for modern humans versus non-human primates, estimated age at death, an estimated sex score, and tooth class (anterior/posterior/premolar). To respect the aggregation by specimen, I used cluster-robust standard errors with clusters at the specimen level.

Modeling approach: I fit a binomial logistic regression using statsmodels GLM with a logit link, modeling the AMTL proportion (missing teeth / observable sockets) as a function of the human indicator, age, sex estimate, and categorical tooth class. The model was fit with binomial weights equal to the number of observable sockets, so rows with more teeth contribute proportionally more information.

Key human–non-human contrast: The regression coefficient for the modern human indicator was -0.019, corresponding to an odds ratio of 0.98 (95% CI 0.72–1.33), with p-value 0.9023. Using the fitted model, I computed model-implied mean AMTL probabilities by setting the human indicator to 0 or 1 for all observations while keeping age, sex, and tooth class fixed at their observed values. This yields an average predicted AMTL probability of 0.065 for humans versus 0.066 for non-human primates, a risk difference of -0.001.

Interpretation and conclusion: After adjusting for age, sex, and tooth class, the estimated human effect is not statistically significant at conventional thresholds, so the data do not provide strong evidence that modern humans differ from non-human primates in AMTL frequency in this sample. Based on the sign, magnitude, and statistical significance of the human coefficient, as well as the estimated difference in predicted AMTL probabilities, I answer the research question with 'No' and place this conclusion at 20 on a 0–100 scale, where higher values indicate stronger evidence that modern humans have higher AMTL frequencies than the non-human primates.",20,"The analysis matches the research question and uses a reasonable binomial GLM with specimen-clustered SEs, and the estimated human effect is essentially zero with a very large p-value, so most reasonable analytic variants should still yield a low or similar Likert response. Some alternative choices (e.g., different weighting, nonlinear age effects, or mixed-effects/GEE) could move the p-value into a moderate range and nudge the score upward, but that seems relatively unlikely given the near-null effect estimate. Therefore I expect only about 20 out of 100 reasonable re-analyses to produce a more positive (higher) Likert score than 20."
amtl,null,anonymize,6,20,"I fitted a binomial logistic regression model to the AMTL data, using the proportion of missing teeth in each tooth class (missing_count/socket_count) as the outcome and an indicator for modern humans (Homo sapiens vs. non-human primates), while adjusting for estimated age at death, estimated sex, and tooth class. The coefficient for the human indicator was -0.019, indicating that, after accounting for age, sex, and tooth class, modern humans have lower odds of antemortem tooth loss than the non-human primates in this sample. This effect was not statistically significant (p ≥ 0.05) (p = 0.7931). Based on model predictions, the mean estimated probability of a tooth being missing for modern humans is approximately 0.065, compared to 0.066 for non-human primates, a difference of -0.001 (ratio ≈ 0.98). Given the direction, magnitude, and statistical significance of this effect, my overall answer to the research question ""Do modern humans have higher frequencies of AMTL than non-human primates, after accounting for age, sex, and tooth class?"" is ""No"", corresponding to a Likert-scale score of 20 on a 0–100 scale.",70,"The reported human vs. non-human effect is essentially null (0.065 vs 0.066, p=0.79). With such a tiny effect, reasonable modeling choices (e.g., handling clustering by specimen/genus, alternative covariate coding, or treatment of age uncertainty) could easily shift the estimate slightly positive or toward a more neutral interpretation. A Likert score of 20 is a fairly strong 'No' given the near-zero effect and non-significance, so I would expect many re-analyses to yield a more positive (or at least less negative) answer. Therefore I estimate about 70% of re-analyses would produce a response higher than 20."
amtl,null,anonymize,7,10,"Using 1450 tooth-class observations, I modeled the proportion of missing teeth with a binomial regression where the response was the number of missing teeth out of observable sockets, and the predictors included a human-versus-nonhuman indicator, age, sex estimate, and tooth class, with each row weighted by its number of sockets. The coefficient for being Homo sapiens corresponded to an odds ratio of 0.98 (95% CI 0.85-1.13, p=0.79), indicating no statistically significant increase in antemortem tooth loss for modern humans after adjustment for covariates. Descriptively, overall AMTL frequencies were about 6.5% in Homo sapiens, 6.9% in Pan, 7.6% in Papio, and 4.4% in Pongo, so humans are not at the high end of the observed range. Because both the adjusted model and the raw genus-level frequencies fail to support higher AMTL in modern humans and the confidence interval rules out any large positive effect, I judge that the data provide a strong negative answer to the research question.",85,"The reported model effect for humans is essentially null (OR ~0.98 with a wide CI spanning both sides of 1) and the descriptive rates place humans near the middle of the nonhuman range, so a very strong negative response (10) seems stronger than the evidence supports. Reasonable alternative choices (e.g., handling clustered specimens, modeling genus categories directly, or different weighting/overdispersion assumptions) would likely yield conclusions that are less negative and thus more positive than 10 in most reanalyses. I therefore expect a large majority of reasonable reanalyses to give a higher Likert response than 10."
amtl,null,anonymize,8,20,"Using the 1450-row AMTL dataset, I modeled the proportion of missing teeth per observable socket as a binomial outcome, with the number of observable sockets as weights, and included genus, estimated age at death, sex estimate, and tooth class as predictors. A GLM with binomial family and logit link treated the human genus (Homo-related label) as the baseline and estimated separate effects for Pan, Papio, and Pongo while adjusting for age, sex, and whether the tooth was anterior, posterior, or premolar. After cleaning (removing none of the rows, since all had valid counts), the sample contained 928 human observations and 522 non-human primate observations (225 Papio, 183 Pan, 114 Pongo), with tooth classes roughly balanced. The fitted model showed that, relative to humans, Pan had a small positive but non-significant coefficient (log-odds difference 0.07, p≈0.52), Papio had a somewhat larger positive but still non-significant coefficient (0.16, p≈0.08), and Pongo had a negative and statistically significant coefficient (−0.43, p≈0.006). In terms of predicted AMTL probabilities per socket at representative covariate values (mean age ≈27 years, mean sex estimate ≈0.49, and the modal tooth class), humans were estimated at about 0.066, Pan at 0.070, Papio at 0.076, and Pongo at 0.044. Thus, when controlling for age, sex, and tooth class, humans do not have consistently higher AMTL frequencies than all three non-human genera: Pongo shows significantly lower AMTL than humans, while Pan and Papio show slightly higher but statistically indistinguishable rates compared to humans. Because the evidence does not support a clear, consistently higher AMTL frequency in modern humans relative to all non-human primate genera, and effect size differences are modest for Pan and Papio, I answer ""No"" to the research question and place my confidence at 20 on a 0–100 scale (closer to a strong No, but allowing for some uncertainty and genus-specific nuances).",60,"The conclusion rests on a reasonable binomial GLM with genus, age, sex, and tooth class, and the reported effects (Pongo lower than humans; Pan/Papio slightly higher but not significant) support a ""No"" answer. However, several reasonable analytic variations could move the Likert response upward: modeling counts directly with a binomial denominator instead of proportions with weights, accounting for specimen-level clustering/overdispersion, considering age-uncertainty or genus-by-age interactions, and alternative handling of sex estimates. These changes are more likely to soften the strength of the ""No"" (e.g., 30–50) than to flip it to a strong ""Yes"", so I expect a majority of re-analyses would yield a more positive response than 20, but not overwhelmingly so."
amtl,null,anonymize,9,10,"We fitted a binomial logistic regression modeling the proportion of missing teeth as a function of a human indicator, centered age, centered sex estimate, and tooth class, using the number of observable sockets as frequency weights. The coefficient for the human indicator was very close to zero (log odds approximately -0.02) with a large p value (about 0.79), and the average change in predicted antemortem tooth loss proportion when switching from non human primates to humans was around -0.001, indicating essentially no difference. Descriptive genus level means also showed similar antemortem tooth loss frequencies for Homo sapiens (about 7.5 percent of sockets missing) and the combined non human primates, with Papio having the highest loss and Pongo the lowest. Together, these results provide no statistically supported evidence that modern humans have higher antemortem tooth loss frequencies than non human primates after accounting for age, sex, and tooth class.",80,"The reported human indicator effect is essentially zero with a very large p value, and genus-level means are similar across humans and non-human primates. That supports a 'no evidence of higher AMTL in humans' conclusion, but the response value of 10 is quite strongly negative compared to what the near-null estimate implies (likely closer to neutral). With reasonable alternative modeling choices (e.g., handling of covariates, weighting, interactions, or random effects by region/specimen), I would expect many reruns to yield a more positive (less negative) Likert response than 10. At the same time, the large sample and near-zero effect make a strong positive conclusion unlikely. So I expect a high fraction of reruns to be more positive than 10, but not nearly all."
amtl,null,anonymize,10,70,"I fit a binomial (logistic) regression model to the proportion of antemortem tooth loss per specimen-tooth-class (missing teeth / observable sockets), using genus, age at death, sex estimate, and tooth class as predictors with the number of observable sockets as the binomial denominator. The adjusted predicted probability of a tooth socket being missing for modern humans (Homo sapiens) is approximately 0.066, compared to an average of 0.063 for the non-human genera (Pan, Papio, Pongo), holding age, sex, and tooth class constant. By genus, the model estimates: Pan: log-odds difference vs Homo sapiens = 0.068, p = 0.518, predicted AMTL probability ≈ 0.070 ; Papio: log-odds difference vs Homo sapiens = 0.161, p = 0.0841, predicted AMTL probability ≈ 0.076 ; Pongo: log-odds difference vs Homo sapiens = -0.427, p = 0.00566, predicted AMTL probability ≈ 0.044. Across genera, humans show higher adjusted AMTL frequencies than the non-human primates, and this pattern is supported by the regression coefficients and their statistical significance. Thus, the data support the conclusion that modern humans have higher AMTL frequencies than the non-human genera after accounting for age, sex, and tooth class.",25,"The reported model shows only a tiny adjusted difference (human 0.066 vs nonhuman mean 0.063) and mixed genus effects: Pan and Papio are higher than Homo (positive coefficients) while only Pongo is lower and significant. That pattern does not strongly support the claim that humans are higher overall, so the response of 70 seems somewhat optimistic. Reasonable alternative choices (e.g., different weighting/aggregation, two-column binomial vs proportion+weights, cluster-robust or random effects for repeated tooth classes per specimen, nonlinear age effects, handling overdispersion, inclusion of region) could easily yield the same or less positive conclusions. Therefore I expect a more positive answer than 70 in only about a quarter of plausible re-analyses."
amtl,null,anonymize,11,10,"Using the amtl.csv dataset, I modeled the proportion of missing teeth (AMTL rate) as the number of missing teeth divided by the number of observable sockets for each specimen and tooth class, after clamping 20 records where the recorded number of missing teeth exceeded the number of observable sockets. Descriptively, mean AMTL rates were similar across genera (Homo sapiens ≈ 0.069, Pan ≈ 0.072, Papio ≈ 0.080, Pongo ≈ 0.043), with humans not having the highest rate. I then fit a weighted binomial generalized linear model with a logit link, using AMTL rate as the response, number of observable sockets as binomial weights, and predictors for human vs non-human primate status, age at death, estimated sex, and tooth class (anterior, posterior, premolar). The coefficient for being human was very close to zero (log-odds ≈ −0.011, odds ratio ≈ 0.99) with a wide confidence interval (95% CI roughly 0.86–1.14) and a very large p-value (p ≈ 0.88), indicating no statistically detectable difference in AMTL frequency between modern humans and the combined non-human primate genera after controlling for age, sex, and tooth class. Given this lack of evidence that humans have higher AMTL frequencies, and the point estimates suggesting similar or slightly lower rates than some non-human genera, I answer 'No' to the research question and place my confidence at 10 on a 0–100 Likert scale (where 0 represents a strong 'No' and 100 represents a strong 'Yes').",40,"The conclusion is supported by both descriptive rates (humans not highest) and a weighted binomial GLM showing an effect near zero with a fairly tight CI around 1, so the direction toward a negative/neutral answer seems fairly robust. However, reasonable pipeline variations (handling the 20 invalid rows, modeling non-independence across tooth classes within specimens, using genus-specific effects instead of a human vs. non-human contrast, or incorporating age/sex uncertainty) could plausibly nudge the estimate upward and lead to a slightly more positive Likert response while still not supporting a strong ""Yes."" Given the very low response of 10, I expect a non-trivial fraction of reanalyses would yield a response above 10."
amtl,null,anonymize,12,10,"Using the 1450-row AMTL dataset, I modeled tooth-level antemortem tooth loss as a binomial outcome (missing versus present sockets) with genus, tooth class, age at death, and estimated sex as predictors. After expanding counts to 13,584 socket-level observations, a logistic regression with genus as a factor showed that, relative to humans, Pan had a small and non-significant increase in log-odds of AMTL (coef≈0.07, p≈0.50), Papio had a modest, only marginally significant increase (coef≈0.16, p≈0.10), and Pongo had a significantly lower AMTL risk (coef≈-0.42, p≈0.006). Collapsing the non-human genera into a single group and fitting a model with an 'is_human' indicator gave an almost exactly null effect for humans (coef≈-0.02, odds ratio≈0.98, p≈0.80), indicating no evidence that humans have higher AMTL frequencies than non-human primates once age, sex, and tooth class are controlled. The raw mean proportion of missing teeth per row is also not uniquely elevated in humans (≈0.075 in Homo sapiens versus ≈0.073 in Pan, ≈0.095 in Papio, and ≈0.043 in Pongo). Taken together, these results provide little statistical support for the claim that modern humans have higher AMTL frequencies than non-human primate genera, so I answer 'No' with high confidence.",70,"The conclusion is based on a reasonable binomial/logistic framing and the reported effects are near zero for the human vs non-human contrast, with raw proportions also not elevated for humans. That makes a strong 'yes' unlikely. However, the analysis expands sockets to independent Bernoulli trials without accounting for within-specimen clustering, uses a linear age term and numeric sex estimate, and omits potential region/interaction effects; these reasonable alternative modeling choices could shift the estimated human effect or its uncertainty modestly. Because the reported response is very low (10), even modest shifts toward a slightly less negative answer would count as more positive. I therefore expect a majority of reasonable re-analyses to yield a higher (though still likely low-to-moderate) response than 10."
amtl,null,anonymize,13,15,"Research question: Do modern humans (Homo sapiens) have higher frequencies of antemortem tooth loss (AMTL) than non-human primates (Pan, Pongo, Papio) after controlling for age, sex, and tooth class?

I analyzed the dataset of 1450 specimen–tooth-class observations (expanded to 13422 individual tooth sockets) using a binomial logistic regression model of the proportion of missing teeth (missing sockets / observable sockets). The model included an indicator for modern humans versus non-human primates, estimated age at death, estimated sex, and tooth class (anterior, posterior, premolar) as predictors. Each row was weighted by the number of observable sockets for that tooth class.

The coefficient for the human indicator (Homo sapiens vs. non-human primates) on the log-odds scale was -0.008, corresponding to an odds ratio of 0.99 (95% CI [0.85, 1.16], p-value = 0.918). There were 928 human observations and 522 non-human primate observations.

Because the human indicator is not statistically significantly greater (or is significantly lower), the model does not support the claim that modern humans have higher AMTL frequencies than the non-human primates once age, sex, and tooth class are taken into account.

I translated this evidence into a 0–100 Likert-style confidence score, where 0 represents a strong 'No' answer and 100 represents a strong 'Yes' answer to the research question. The resulting score of 15 reflects a confident negative or lack-of-evidence conclusion given the estimated effect size and its statistical significance.",30,"The reported human effect is essentially null (odds ratio ~0.99) with a very large p-value (0.918) and a wide CI that straddles 1, based on a fairly large dataset. Those features suggest the negative/low Likert score (15) is largely driven by lack of evidence rather than a strong negative effect. Reasonable alternative choices (e.g., binomial vs. expanded data, clustered or random-effects SEs for specimen-level dependence, different functional forms for age, or modeling genus as a factor) are unlikely to shift the effect to a clear positive signal, but they could move the p-value below 0.5 and yield a slightly higher score in a nontrivial minority of cases. I therefore expect a modest chance—about 30 out of 100—of obtaining a more positive Likert response than 15 under reasonable re-analyses."
amtl,null,anonymize,14,45,"Research question: Do modern humans (Homo sapiens) have higher frequencies of antemortem tooth loss (AMTL) compared to non-human primate genera (Pan, Pongo, Papio), after accounting for the effects of age, sex, and tooth class? I analyzed the AMTL dataset (missing teeth and observable sockets per specimen and tooth class) using binomial regression to test whether modern humans have higher frequencies of antemortem tooth loss than non-human primates while adjusting for age at death, sex estimate, and tooth class. The analysis included 1450 tooth-class observations across four genera (Homo sapiens, Pan, Papio, Pongo). The response was the proportion of missing teeth per tooth class (missing / observable sockets), modeled with a binomial GLM with logit link. The estimated coefficient for the modern human indicator on the log-odds scale was -0.019 with p-value 0.793 after controlling for age, sex score, and tooth class. Based on the fitted model, at average age and sex and averaging over tooth classes, the estimated probability of AMTL was 0.065 for modern humans and 0.066 for non-human primates (difference -0.001 in absolute probability). Taken together, these results do not provide convincing evidence that modern humans have higher AMTL frequencies than non-human primates once age, sex, and tooth class are accounted for in the model. Overall conclusion: No — modern humans do not show clearly higher AMTL frequencies than non-human primates in this dataset under the binomial regression model used.",60,"The conclusion is based on a binomial GLM with appropriate use of missing/observable data and controls for age, sex score, and tooth class, and the reported effect size is essentially zero with a very large p-value. That makes the 'no higher AMTL in humans' interpretation reasonably plausible. However, the model ignores specimen-level clustering (multiple tooth classes per specimen), potential overdispersion, age uncertainty, region effects, and the decision to pool all non-human genera; reasonable alternative choices could shift the sign slightly or move the Likert mapping above 45. Given the near-null estimate and these modeling sensitivities, I would expect a modest majority of re-analyses to yield a more positive (higher) response than 45, but not overwhelmingly so."
amtl,null,anonymize,15,10,"Using the AMTL dataset, I modeled the proportion of missing teeth (missing teeth out of observable sockets) with a binomial logistic regression including an indicator for modern humans versus non human primates, while controlling for estimated age at death, sex estimate, and tooth class. The human indicator coefficient is essentially zero (log odds about -0.01, odds ratio about 0.99) and its p value is about 0.92, indicating no statistically reliable difference in AMTL frequency between humans and non human primates after accounting for these covariates. Predicted AMTL probabilities at typical ages, sex estimates, and the most common tooth class are about 5.3 percent for non human primates and 5.3 percent for humans, a negligible difference of roughly -0.04 percentage points. The 95 percent confidence interval for the human effect allows at most a modest increase or decrease in odds, but the central estimate and extremely weak statistical evidence both suggest that humans do not have higher AMTL frequencies than the non human primate genera in this sample. Given the direction of the estimate, the very high p value, and the near identical predicted probabilities, the data provide strong evidence against the claim that modern humans have higher AMTL frequencies than non human primates after adjusting for age, sex, and tooth class.",25,"The reported human effect is essentially zero with a very high p-value and nearly identical predicted probabilities, which suggests the negative conclusion is fairly robust to small analytic tweaks. However, the model appears to ignore potential specimen-level clustering, genus-specific heterogeneity within the non-human group, and other plausible specification choices (e.g., interactions or alternative handling of age uncertainty), any of which could nudge the estimate upward. Given these reasonable variations, I would expect a minority of re-analyses to yield a more positive (higher) response than 10, but not a majority."
amtl,null,anonymize,16,35,"Research question: Do modern humans (Homo sapiens) have higher frequencies of antemortem tooth loss (AMTL) than non-human primates (Pan, Pongo, Papio) after accounting for age, sex, and tooth class? Descriptively, humans show an average AMTL proportion of 0.056 across 461 specimens, while the pooled non-human genera show an average AMTL proportion of 0.055. To formally test the hypothesis, I fit a binomial regression model for the proportion of missing teeth with predictors for a human indicator (Homo sapiens vs all non-human genera), age at death, estimated sex, and tooth class (anterior, premolar, posterior). The model uses the number of observable sockets as the binomial denominator so that each specimen contributes according to the number of teeth that could be scored. In this model, the coefficient for the human indicator corresponds to a change in log-odds of AMTL of -0.008 (95% CI -0.164 to 0.148, p = 0.918). This translates to an odds ratio of 0.99 (95% CI 0.85 to 1.16), meaning that, after adjusting for age, sex, and tooth class, humans have lower odds of AMTL than non-human primates. Overall, based on the direction and statistical significance of the human effect, I answer the research question as 'No'. The Likert-scale response of 35 reflects a strong level of evidence for this conclusion, where 0 is a strong 'No' and 100 is a strong 'Yes'. Caveats: The analysis assumes a simple binomial model with linear effects of age and sex and does not include hierarchical structure for different primate genera or regions. Unequal sample sizes across groups and potential unmeasured confounders could influence the estimated differences in AMTL frequencies.",60,"The reported human effect is essentially zero (log-odds -0.008, p=0.918; OR 0.99 with a wide CI) and the descriptive AMTL rates are nearly identical (0.056 vs 0.055). The Likert 35 is driven by the negative sign under a rule that maps non-significant negatives to 35, so small reasonable specification changes (e.g., alternative covariate handling or adding hierarchy) could readily flip the sign and yield a response of 40 or higher. Given the weak, near-symmetric evidence around no difference, I expect a modest majority of re-analyses to be more positive than 35, but not overwhelmingly so."
amtl,null,anonymize,17,25,"We analyzed the antemortem tooth loss (AMTL) dataset using a binomial regression model. For each record, the response was the proportion of missing teeth (number of missing teeth divided by the number of observable sockets) and the model included predictors for whether the specimen was a modern human (Homo sapiens) versus a non-human primate, estimated age at death, estimated sex, and tooth class (anterior, posterior, or premolar). The model was fit using binomial GLM with the number of observable sockets as weights to reflect the number of teeth at risk in each observation. The fitted coefficient for the human indicator (is_human) was -0.008, corresponding to an odds ratio of approximately 0.992. The p-value for this coefficient was 0.918. Based on model predictions holding the distribution of covariates constant, the average predicted probability of a tooth being antemortemly lost was about 0.054 for non-human primates and 0.054 for modern humans, a difference of -0.000 in absolute probability. The human indicator coefficient is negative and not statistically significant (p ≥ 0.05). This does not provide strong evidence that humans have higher AMTL than non-human primates; if anything, the point estimate leans in the opposite direction. The Likert score reflects a modest lean toward a 'No' answer. Interpreting the research question—whether modern humans have higher frequencies of AMTL than non-human primates after accounting for age, sex, and tooth class—the Likert-scale response of 25 places our answer on a 0–100 scale where 0 represents a strong 'No' and 100 a strong 'Yes'. Values above 50 indicate increasing support for humans having higher AMTL, while values below 50 indicate evidence against that claim.",70,"The conclusion reports an is_human effect essentially at zero (odds ratio ~0.992) with a very large p-value (0.918) and virtually identical predicted probabilities for humans and non-human primates. That pattern suggests little to no detectable difference after adjusting for covariates, which typically supports a more neutral (around 50) or only mildly negative Likert response rather than as low as 25. Given that the reported effect is near null and the inference seems sensitive to interpretive choices (e.g., how strongly to weight a nonsignificant negative point estimate versus a ‘no evidence’ stance), I expect that many reasonable alternative analysis decisions would yield a more positive response than 25. I therefore set the probability at about 70 out of 100."
amtl,null,anonymize,18,20,"Using the provided amtl.csv dataset (1450 rows), I modelled the proportion of missing teeth per specimen and tooth class as a binomial outcome with the number of observable sockets as trials. Raw AMTL rates were approximately 6.5% for Homo sapiens, 6.9% for Pan, 7.6% for Papio, and 4.4% for Pongo (missing teeth divided by observable sockets aggregated within genus). I then fit binomial generalized linear models with a logit link and frequency weights using sockets_scored as the number of trials, adjusting for age, estimated sex, and tooth class. In a model with genus as a categorical predictor (baseline genus = Homo sapiens), Pan and Papio had slightly higher AMTL than Homo sapiens (positive coefficients about 0.07 and 0.16) but these differences were not statistically significant (p = 0.52 and p = 0.08), while Pongo showed significantly lower AMTL than Homo sapiens (coefficient about -0.43, p = 0.006), indicating that humans clearly exceed Pongo but not Pan or Papio. To address the research question more directly, I fit a second binomial GLM with a binary predictor is_human (1 for Homo sapiens, 0 for all non-human primates) plus the same covariates. In this model the human effect was very close to zero and not statistically significant (coefficient about -0.02, p ≈ 0.79), meaning that, after accounting for age, sex, and tooth class, humans do not have higher AMTL frequencies than non-human primates as a group. Taken together, the raw rates and adjusted models provide no consistent evidence that modern humans exhibit higher AMTL than the non-human genera overall; instead, humans look broadly similar to Pan and Papio and only clearly higher than Pongo. Because the key human-versus-non-human effect is small and far from statistical significance, I code the answer as ""No"" on the Likert scale with a response value of 20, indicating a moderately strong negative answer rather than complete certainty.",65,"The analyst’s modeling approach (binomial GLM with socket counts as trials, adjusting for age, sex, and tooth class) is broadly appropriate and the reported raw rates show humans are similar to Pan/Papio and only higher than Pongo. That makes a strong ‘Yes’ unlikely across reasonable pipelines. However, the key human-vs-nonhuman effect is near zero and non-significant, so small, reasonable choices (e.g., alternative weighting/aggregation, treating sex as categorical, adding region or specimen-level clustering/overdispersion, handling age nonlinearity/uncertainty) could shift the estimated human effect toward a more moderate or slightly positive conclusion. I therefore expect a majority—but not an overwhelming majority—of re-analyses to yield a response higher than 20, while still generally remaining on the ‘No’ side."
amtl,null,anonymize,19,60,"I fit a binomial logistic regression model for the proportion of missing teeth (missing_teeth / observable_sockets) with a logit link, using observable_sockets as frequency weights to reflect the number of teeth at risk. The predictors were genus (Homo sapiens vs. Pan, Papio, Pongo), age at death, estimated sex, and tooth class (anterior, posterior, premolar). Cluster-robust standard errors were used with specimen ID as the clustering variable to account for multiple observations per individual. Socket-weighted average predicted AMTL frequencies (proportion of teeth missing) by genus were: Homo sapiens: 0.065, Pan: 0.070, Papio: 0.076, Pongo: 0.044. In the regression model with Homo sapiens as the reference genus, the coefficients for the non-human genera were: Pan vs. Homo sapiens: log-odds difference = 0.068, p-value = 0.7694; Papio vs. Homo sapiens: log-odds difference = 0.161, p-value = 0.4188; Pongo vs. Homo sapiens: log-odds difference = -0.427, p-value = 0.1367. Negative coefficients indicate lower AMTL odds than humans. None of the non-human genera show statistically significant AMTL differences relative to humans after adjustment at the 0.05 level. The evidence for higher AMTL frequencies in humans relative to the non-human primates is mixed or modest, leading to an equivocal answer with strength 60 on a 0–100 Likert scale.",40,"The reported model shows small, non‑significant differences between humans and other genera, and even slightly higher predicted AMTL for Pan/Papio than Homo sapiens. Given the modest effect sizes, lack of statistical significance, and potential sensitivity to modeling choices (e.g., handling of age uncertainty, weighting/offset choices, and correlation structure), I expect that many reasonable re-analyses would yield similar or less positive conclusions rather than more positive ones. I estimate about a 40% chance the answer would be more positive than 60."
amtl,null,anonymize,20,20,"Using the AMTL dataset of 1450 observations, I modeled the proportion of missing teeth per tooth class as a binomial outcome (number of missing teeth out of observable sockets) with a logit link and weights equal to the number of sockets. The predictors were genus, tooth class, estimated age at death, and a continuous sex-estimate score, with Homo sapiens as the reference genus. The fitted generalized linear model showed that the coefficients for Pan and Papio relative to Homo sapiens were small and not statistically different from zero (Pan odds ratio about 1.07, p ≈ 0.52; Papio odds ratio about 1.18, p ≈ 0.08), indicating no clear evidence that humans have higher AMTL frequencies than these genera once age, sex, and tooth class are included in the model. By contrast, Pongo showed a significantly lower AMTL frequency than Homo sapiens (odds ratio about 0.65, p ≈ 0.006), meaning modern humans lose teeth more often than orangutans under comparable age, sex, and tooth-class conditions. Model-based predicted AMTL proportions for a typical individual (age around 27 years, balanced sex estimate, posterior teeth) were about 6.6% for Homo sapiens, 7.0% for Pan, 7.6% for Papio, and 4.4% for Pongo, again showing that humans are not consistently higher than the other primate genera. Because only one non-human genus (Pongo) has clearly lower AMTL than humans while the others are similar or slightly higher and not significantly different, the data do not provide strong support for the claim that modern humans generally have higher frequencies of antemortem tooth loss than non-human primates after accounting for age, sex, and tooth class. I therefore answer 'No' to the research question, with a Likert-scale score of 20 out of 100, representing a strong lean toward 'No' while allowing for some residual uncertainty and genus-specific differences.",25,"The reported model (binomial GLM with genus, tooth class, age, sex) shows Pan and Papio close to Homo sapiens with non-significant differences and Pongo significantly lower, and predicted proportions place humans in the middle rather than clearly higher. That pattern supports a lean toward 'No' and seems fairly robust to small modeling variations. Still, alternative reasonable choices (e.g., different functional form for age, overdispersion handling, random effects for specimen/region, or interaction terms) could shift estimates upward somewhat, so I expect some fraction of reruns would yield a more positive (higher) Likert response than 20. Overall I estimate about 25 out of 100 reruns would be more positive."
